"involution","sit_up","M"
0.04,0.01,50
0.04,0.02,50
0.05,0.01,51
0.05,0.01,52
0.01,0.16,52
0.05,0.01,53
0.05,0.01,54
0.05,0.02,54
0.01,0.19,54
0.06,0.01,55
0.06,0.01,56
0.06,0.01,57
0.01,0.25,57
0.07,0.01,58
0.07,0.02,58
0.07,0.01,59
0.07,0.01,60
0.01,0.97,60
0.08,0.01,61
0.07,0.02,61
0.08,0.02,62
0.08,0.01,62
0.01,0.98,63
0.08,0.01,63
0.08,0.02,64
0.01,0.98,64
0.08,0.01,64
0.09,0.01,65
0.01,0.98,65
0.01,0.98,66
0.09,0.01,66
0.09,0.01,67
0.01,0.98,67
0.01,0.98,68
0.1,0.01,68
0.01,0.98,69
0.1,0.01,69
0.01,0.98,70
0.1,0.02,70
0.01,0.98,71
0.01,0.99,72
0.01,0.99,73
0.11,0.01,73
0.01,0.99,74
0.11,0.02,74
0.01,0.98,75
0.01,0.99,75
0.02,0.98,76
0.02,0.98,77
0.02,0.98,78
0.02,0.97,78
0.03,0.97,78
0.13,0.01,79
0.03,0.97,79
0.03,0.97,80
0.03,0.96,80
0.04,0.96,81
0.03,0.97,81
0.04,0.96,82
0.01,0.99,82
0.14,0.01,82
0.04,0.96,83
0.05,0.95,84
0.04,0.95,84
0.05,0.95,85
0.05,0.95,86
0.15,0.03,86
0.05,0.94,86
0.15,0.01,86
0.06,0.94,87
0.06,0.94,88
0.06,0.94,89
0.16,0.01,89
0.07,0.93,90
0.16,0.01,90
0.07,0.93,91
0.16,0.01,91
0.07,0.93,92
0.17,0.01,92
0.17,0.02,93
0.08,0.92,93
0.08,0.92,94
0.17,0.01,95
0.08,0.91,95
0.08,0.92,95
0.17,0.02,95
0.09,0.91,96
0.18,0.02,96
0.18,0.01,96
0.09,0.91,97
0.09,0.91,98
0.18,0.02,98
0.1,0.9,98
0.1,0.9,99
0.19,0.02,99
0.19,0.01,99
0.19,0.01,100
0.1,0.9,100
