"involution","sit_up","M"
0.01,0.96,1
0.01,0.95,2
0.01,0.93,3
0.01,0.04,4
0.01,0.01,5
0.01,0.01,6
0.12,0.01,7
0.01,0.99,7
0.08,0.92,8
0.01,0.99,8
0.07,0.93,8
0.02,0.98,8
0.39,0.01,9
0.24,0.76,9
0.38,0.62,10
0.39,0.61,10
0.5,0.01,10
0.61,0.01,11
0.52,0.48,11
0.7,0.01,12
0.64,0.36,12
0.79,0.02,13
0.75,0.25,13
0.79,0.01,13
0.85,0.15,14
0.87,0.03,14
0.85,0.12,14
0.87,0.02,14
0.95,0.01,15
0.94,0.06,15
0.94,0.05,15
0.99,0.01,16
0.99,0.01,17
0.99,0.01,18
0.99,0.01,19
0.99,0.01,20
0.99,0.01,21
0.99,0.01,22
0.99,0.01,23
0.99,0.01,24
0.99,0.01,25
0.99,0.01,26
0.99,0.01,27
0.99,0.01,28
0.99,0.01,29
0.99,0.01,30
0.99,0.01,31
0.99,0.01,32
0.99,0.01,33
0.99,0.01,34
0.99,0.01,35
0.99,0.01,36
0.01,0.98,36
0.99,0.01,37
0.99,0.01,38
0.99,0.01,39
0.99,0.01,40
0.99,0.01,41
0.99,0.01,42
0.01,0.98,42
0.99,0.01,43
0.99,0.01,44
0.01,0.98,45
0.99,0.01,45
0.99,0.01,46
0.99,0.01,47
0.01,0.98,48
0.99,0.01,48
0.99,0.01,49
0.99,0.01,50
