"x","y","M"
0.0149,0,22
0.0346,0,25
0.041,0,26
0.0538,0,28
0,0.299,29
0.0664,0,30
0,0.3808,31
0.0116,0.9884,39
0.0189,0.9811,40
0.0261,0.9739,41
0,0.7874,41
0.1394,0,42
0,0.8279,42
0.0334,0.9666,42
0.0406,0.9594,43
0.0478,0.9522,44
0.1573,0,45
0.0549,0.9451,45
0,0.9492,45
0.0621,0.9379,46
0,0.9895,46
0.1692,0,47
0.0692,0.9308,47
0.0763,0.9237,48
0.0834,0.9166,49
0.1869,0,50
0.0905,0.9095,50
0.1928,0,51
0.0975,0.9025,51
0.1045,0.8955,52
0.1116,0.8884,53
0.1186,0.8814,54
0.2163,0,55
0.1256,0.8744,55
0.1326,0.8674,56
0.1395,0.8605,57
0.1465,0.8535,58
0.1535,0.8465,59
0.1604,0.8396,60
0.1673,0.8327,61
0.1743,0.8257,62
0.1812,0.8188,63
0.1881,0.8119,64
0.195,0.805,65
0.2804,0,66
0.2019,0.7981,66
0.2862,0,67
0.2088,0.7912,67
0.2156,0.7844,68
0.2979,0,69
0.2294,0.7706,70
0.2362,0.7638,71
0.2431,0.7569,72
0.2499,0.7501,73
0.2568,0.7432,74
0.2636,0.7364,75
0.3384,0,76
0.2705,0.7295,76
0.2773,0.7227,77
0.2841,0.7159,78
0.3558,0,79
0.2909,0.7091,79
0.3615,0,80
0.2978,0.7022,80
0.3046,0.6954,81
0.3114,0.6886,82
0.3182,0.6818,83
0.3846,0,84
0.325,0.675,84
0.3318,0.6682,85
0.3962,0,86
0.3386,0.6614,86
0.4019,0,87
0.3454,0.6546,87
0.3522,0.6478,88
0.359,0.641,89
0.3657,0.6343,90
0.425,0,91
0.3725,0.6275,91
0.3793,0.6207,92
0.3861,0.6139,93
0.3929,0.6071,94
0.3996,0.6004,95
0.4064,0.5936,96
0.4596,0,97
0.4132,0.5868,97
0.4199,0.5801,98
0.4711,0,99
0.4267,0.5733,99
0.4334,0.5666,100
0.4334,0.5665,100
0.4826,0,101
0.4402,0.5598,101
0.447,0.553,102
0.4537,0.5463,103
0.4605,0.5395,104
0.4672,0.5328,105
0.474,0.526,106
0.4807,0.5193,107
0.4875,0.5125,108
0.5286,0,109
0.4942,0.5058,109
0.501,0.499,110
0.5077,0.4923,111
0.5458,0,112
0.5144,0.4856,112
0.5212,0.4788,113
0.5279,0.4721,114
0.5347,0.4653,115
0.5414,0.4586,116
0.5745,0,117
0.5481,0.4519,117
0.5549,0.4451,118
0.5616,0.4384,119
0.5683,0.4317,120
0.575,0.4249,121
0.575,0.425,121
0.5818,0.4182,122
0.5885,0.4115,123
0.5952,0.4048,124
0.602,0.398,125
0.6087,0.3913,126
0.6154,0.3846,127
0.6377,0,128
0.6221,0.3779,128
0.6288,0.3712,129
0.6288,0.3711,129
0.6356,0.3644,130
0.6423,0.3577,131
0.649,0.351,132
0.6557,0.3443,133
0.6624,0.3376,134
0.6721,0,134
0.6692,0.3308,135
0.6759,0.3241,136
0.6836,0,136
0.6826,0.3174,137
0.6893,0.3107,138
0.695,0,138
0.696,0.304,139
0.7027,0.2973,140
0.7094,0.2906,141
0.7162,0.2838,142
0.7229,0.2771,143
0.7296,0.2704,144
0.7295,0,144
0.7363,0.2637,145
0.743,0.257,146
0.7497,0.2503,147
0.7564,0.2436,148
0.7631,0.2369,149
0.7581,0,149
0.7698,0.2302,150
0.7638,0,150
0.7765,0.2235,151
0.7832,0.2168,152
0.7899,0.2101,153
0.7966,0.2034,154
0.7966,0.2033,154
0.8034,0.1966,155
0.8101,0.1899,156
0.8168,0.1832,157
0.8235,0.1765,158
0.8302,0.1698,159
0.8369,0.1631,160
0.8211,0,160
0.8436,0.1564,161
0.8269,0,161
0.8503,0.1497,162
0.857,0.143,163
0.8637,0.1363,164
0.8704,0.1296,165
0.8771,0.1229,166
0.8838,0.1162,167
0.8612,0,167
0.8905,0.1095,168
0.8972,0.1028,169
0.9039,0.0961,170
0.9106,0.0894,171
0.8841,0,171
0.9173,0.0827,172
0.9239,0.0761,173
0.9239,0.076,173
0.9306,0.0694,174
0.9013,0,174
0.9373,0.0627,175
0.944,0.056,176
0.9507,0.0493,177
0.9574,0.0426,178
0.9641,0.0359,179
0.93,0,179
0.9708,0.0292,180
0.9775,0.0225,181
0.9414,0,181
0.9842,0.0158,182
0.9909,0.0091,183
0.9586,0,184
0.97,0,186
0.9758,0,187
0.9815,0,188
0.9872,0,189
0.9929,0,190
