"xDstar","xCstar","N"
0.878,0.122,30
0.7192,0.2808,35
0.7218,0,35
0.6001,0.3999,40
0.5075,0.4925,45
0.4334,0.5666,50
0.4334,0.5665,50
0.3728,0.6272,55
0.3816,0,60
0.3223,0.6777,60
0.2796,0.7204,65
0.243,0.757,70
0.2112,0.7888,75
0.1835,0.8165,80
0.1589,0.8411,85
0.1589,0.841,85
0.1372,0.8628,90
0.1177,0.8823,95
0.1001,0.8999,100
0.1001,0.8998,100
0.0843,0.9157,105
0.0699,0.9301,110
0,0.9771,110
0.0567,0.9433,115
0,0.898,115
0,0.8981,115
0.0446,0.9554,120
0,0.8256,120
0.134,0,125
0,0.7589,125
0.0335,0.9665,125
0.1252,0,130
0.0233,0.9767,130
0,0.6974,130
0.0138,0.9862,135
0,0.6404,135
0,0.5875,140
0.1024,0,145
0,0.4923,150
0,0.4922,150
0.0897,0,155
0,0.4492,155
0,0.371,165
0,0.27,180
0.0599,0,185
0,0.24,185
0,0.2116,190
0,0.2115,190
0,0.1846,195
0,0.1589,200
0.0448,0,205
0,0.1345,205
0,0.1113,210
0,0.068,220
0.0324,0,225
0,0.0285,230
0,0.01,235
0.0245,0,240
0.0133,0,265
0.0075,0,280
