"xDstar","xCstar","N"
0.9882,0.0118,25
0.7821,0.2179,30
0.8224,0,30
0.651,0.349,35
0.6595,0.2524,35
0.6926,0,35
0.5585,0.4415,40
0.5976,0,40
0.6326,-0.2688,40
0.5243,0,45
0.4866,0.5134,45
0.4272,0.5728,50
0.4166,0,55
0.3766,0.6234,55
0.3327,0.6673,60
0.2944,0.7056,65
0.2606,0.7394,70
0.2836,0,75
0.2308,0.7692,75
0.2603,0,80
0.2044,0.7956,80
0.1809,0.8191,85
0.2213,0,90
0.1598,0.8402,90
0.1408,0.8592,95
0.1236,0.8764,100
0,0.9915,100
0,0.9914,100
0.1081,0.8919,105
0,0.8988,105
0.0939,0.9061,110
0,0.8174,110
0.0809,0.9191,115
0,0.7468,115
0.069,0.931,120
0.058,0.942,125
0.0479,0.9521,130
0.1165,0,135
0.0384,0.9616,135
0.0384,0.9615,135
0,0.5471,135
0.0297,0.9703,140
0.102,0,145
0.0216,0.9784,145
0.014,0.986,150
0,0.4402,150
0.0069,0.9931,155
0,0.3762,160
0.0731,0,170
0.0638,0,180
0,0.2582,180
0,0.2044,190
0,0.2045,190
0,0.1545,200
0.0445,0,205
0,0.1085,210
0,0.0869,215
0.0322,0,225
0,0.0272,230
0,0.0273,230
0,0.009,235
0.0195,0,250
0.0111,0,270
