"xDstar","xCstar","d"
0.9942,0,2.2
0.938,0,2.3
0.9795,0.0205,2.4
0.9092,0.0908,2.5
0.8481,0.1519,2.6
0.7646,0,2.7
0.7946,0.2054,2.7
0.7473,0.2527,2.8
0.7052,0.2948,2.9
0.6676,0.3324,3
0.6451,0,3.1
0.6336,0.3663,3.1
0.6336,0.3664,3.1
0.6029,0.3971,3.2
0.575,0.425,3.3
0.5495,0.4505,3.4
0.5261,0.4739,3.5
0.5261,0.4738,3.5
0.5395,0,3.6
0.5046,0.4954,3.6
0.4848,0.5152,3.7
0.5062,0,3.8
0.4664,0.5336,3.8
0.4493,0.5507,3.9
0.4334,0.5666,4
0.4334,0.5665,4
0.4186,0.5814,4.1
0.4506,0,4.2
0.4047,0.5952,4.2
0.4047,0.5953,4.2
0.3917,0.6083,4.3
0.3795,0.6205,4.4
0.368,0.632,4.5
0.3572,0.6428,4.6
0.347,0.653,4.7
0.3373,0.6627,4.8
0.3281,0.6719,4.9
0.3194,0.6806,5
0.3112,0.6888,5.1
0.3033,0.6967,5.2
0.2958,0.7042,5.3
0.2819,0.7181,5.5
0.2754,0.7246,5.6
0.3187,0,5.7
0.2692,0.7308,5.7
0.2632,0.7368,5.8
0.2575,0.7425,5.9
0.301,0,6
0.252,0.748,6
0.2955,0,6.1
0.2468,0.7532,6.1
0.2417,0.7583,6.2
0.2369,0.7631,6.3
0.2322,0.7678,6.4
0.2755,0,6.5
0.2277,0.7723,6.5
0.2234,0.7766,6.6
0.2192,0.7808,6.7
0.2152,0.7848,6.8
0.2579,0,6.9
0.2113,0.7887,6.9
0.2075,0.7925,7
0.2039,0.7961,7.1
0.2004,0.7996,7.2
0.197,0.803,7.3
0.2388,0,7.4
0.1937,0.8063,7.4
0.2353,0,7.5
0.1905,0.8095,7.5
0.1874,0.8126,7.6
0.2286,0,7.7
0.1844,0.8156,7.7
0.1815,0.8185,7.8
0.2223,0,7.9
0.1787,0.8213,7.9
0.1759,0.8241,8
0.1733,0.8267,8.1
0.1707,0.8293,8.2
0.2106,0,8.3
0.1682,0.8318,8.3
0.1657,0.8343,8.4
0.1633,0.8367,8.5
0.161,0.839,8.6
0.1587,0.8413,8.7
0.1976,0,8.8
0.1565,0.8435,8.8
0.1952,0,8.9
0.1544,0.8456,8.9
0.1928,0,9
0.1523,0.8477,9
0.1503,0.8497,9.1
0.1882,0,9.2
0.1483,0.8517,9.2
0.1463,0.8537,9.3
0.1444,0.8556,9.4
0.1818,0,9.5
0.1426,0.8574,9.5
0.1797,0,9.6
0.1408,0.8592,9.6
0.139,0.861,9.7
0.1373,0.8627,9.8
0.1356,0.8644,9.9
0.134,0.866,10
