"xDstar","xCstar","c"
0.4664,0.5336,0.5
0.4768,0,0.6
0.4596,0.5404,0.6
0.4768,0,0.7
0.4529,0.5471,0.7
0.4463,0.5537,0.8
0.4398,0.5602,0.9
0.4334,0.5666,1
0.4334,0.5665,1
0.4273,0.5727,1.1
0.4215,0.5785,1.2
0.4161,0.5839,1.3
0.4112,0.5888,1.4
0.4069,0.5931,1.5
0.4034,0.5966,1.6
0.4008,0.5992,1.7
0.3995,0.6005,1.8
0.3997,0.6003,1.9
0.4018,0.5982,2
0,0.968,2.1
0.4063,0.5937,2.1
0.4137,0.5863,2.2
0.4249,0.5751,2.3
0.4408,0.5592,2.4
0.4627,0.5373,2.5
0.4923,0.5077,2.6
0.532,0.468,2.7
0.5848,0.4152,2.8
0.6552,0.3448,2.9
0.7496,0.2504,3
0.8772,0.1228,3.1
