"xDstar","xCstar","c"
0.4609,0.5391,0.5
0.4653,0,0.6
0.4534,0.4621,0.6
0.4536,0.5464,0.6
0.4466,0.5534,0.7
0.4653,0,0.8
0.4398,0.5602,0.8
0.4334,0.5666,0.9
0.4272,0.5728,1
0.4215,0.5785,1.1
0.4162,0.5838,1.2
0.4114,0.5886,1.3
0.4072,0.5928,1.4
0.4036,0.5964,1.5
0.4007,0.5993,1.6
0.3986,0.6014,1.7
0.3974,0.6026,1.8
0.3972,0.6028,1.9
0,0.9936,2
0,0.9935,2
0.3982,0.6018,2
0,0.9315,2.1
0.4003,0.5997,2.1
0.4038,0.5962,2.2
0.4087,0.5913,2.3
0.4152,0.5848,2.4
0.4233,0.5767,2.5
0.4331,0.5669,2.6
0.4446,0.5554,2.7
0,0.6521,2.8
0.4578,0.5422,2.8
0,0.6258,2.9
0.4727,0.5273,2.9
0.4894,0.5106,3
0.5079,0.4921,3.1
0.5282,0.4718,3.2
0.5507,0.4493,3.3
0.5757,0.4243,3.4
0.6037,0.3963,3.5
0.636,0.364,3.6
0.6749,0.3251,3.7
0.7253,0.2747,3.8
0.8033,0.1967,3.9
