"xDstar","xCstar","l"
0.4334,0.5666,0.01
0.4334,0.5665,0.01
0.4334,0.5666,0.02
0.4334,0.5665,0.02
0.4985,0,0.03
0.4334,0.5666,0.03
0.4334,0.5665,0.03
0.4334,0.5666,0.04
0.4334,0.5665,0.04
0.4334,0.5666,0.05
0.4334,0.5665,0.05
0.4334,0.5666,0.06
0.4334,0.5665,0.06
0.4334,0.5666,0.07
0.4334,0.5665,0.07
0.4334,0.5665,0.08
0.4334,0.5666,0.08
0.4334,0.5665,0.09
0.4334,0.5666,0.09
0.4334,0.5666,0.1
0.4334,0.5665,0.1
0.4334,0.5665,0.11
0.4334,0.5666,0.11
0.4334,0.5665,0.12
0.4334,0.5666,0.12
0.4334,0.5666,0.13
0.4334,0.5665,0.13
0.4334,0.5666,0.14
0.4334,0.5665,0.14
0.4334,0.5666,0.15
0.4334,0.5665,0.15
0.4334,0.5666,0.16
0.4334,0.5665,0.16
0.4334,0.5665,0.17
0.4918,0,0.17
0.4334,0.5666,0.17
0.4334,0.5666,0.18
0.4334,0.5665,0.18
0.4334,0.5666,0.19
0.4334,0.5665,0.19
0.4334,0.5665,0.2
0.4904,0,0.2
0.4334,0.5666,0.2
0.4899,0,0.21
0.4334,0.5665,0.21
0.4334,0.5666,0.21
0.4334,0.5666,0.22
0.4894,0,0.22
0.4334,0.5665,0.22
0.4334,0.5666,0.23
0.4334,0.5665,0.23
0.489,0,0.23
0.4334,0.5666,0.24
0.4334,0.5665,0.24
0.4334,0.5665,0.25
0.4334,0.5666,0.25
0.4334,0.5666,0.26
0.4334,0.5665,0.26
0.4876,0,0.26
0.4334,0.5666,0.27
0.4334,0.5665,0.27
0.4334,0.5666,0.28
0.4334,0.5665,0.28
0.4862,0,0.29
0.4334,0.5666,0.29
0.4334,0.5665,0.29
0.4857,0,0.3
0.4334,0.5665,0.3
0.4334,0.5666,0.3
0.4334,0.5665,0.31
0.4853,0,0.31
0.4334,0.5666,0.31
0.4334,0.5666,0.32
0.4334,0.5665,0.32
0.4334,0.5665,0.33
0.4334,0.5666,0.33
0.4839,0,0.34
0.4334,0.5666,0.34
0.4334,0.5665,0.34
0.4334,0.5665,0.35
0.4334,0.5666,0.35
0.4334,0.5666,0.36
0.4334,0.5665,0.36
0.4334,0.5666,0.37
0.4334,0.5665,0.37
0.4334,0.5666,0.38
0.4334,0.5665,0.38
0.4334,0.5665,0.39
0.4334,0.5666,0.39
0.4812,0,0.4
0.4334,0.5665,0.4
0.4334,0.5666,0.4
0.4334,0.5665,0.41
0.4334,0.5666,0.41
0.4334,0.5666,0.42
0.4334,0.5665,0.42
0.4334,0.5666,0.43
0.4334,0.5665,0.43
0.4334,0.5666,0.44
0.4334,0.5665,0.44
0.4334,0.5666,0.45
0.4334,0.5665,0.45
0.4786,0,0.46
0.4334,0.5665,0.46
0.4334,0.5666,0.46
