"xDstar","xCstar","l"
0.4272,0.5728,0.01
0.4272,0.5728,0.02
0.4272,0.5728,0.03
0.4272,0.5728,0.04
0.4272,0.5728,0.05
0.4272,0.5728,0.06
0.4272,0.5728,0.07
0.4272,0.5728,0.08
0.4272,0.5728,0.09
0.4272,0.5728,0.1
0.4929,0,0.1
0.4272,0.5728,0.11
0.4921,0,0.11
0.4272,0.5728,0.12
0.4914,0,0.12
0.4272,0.5728,0.13
0.4272,0.5728,0.14
0.4272,0.5728,0.15
0.4886,0,0.16
0.4272,0.5728,0.16
0.4272,0.5728,0.17
0.4272,0.5728,0.18
0.4272,0.5728,0.19
0.4272,0.5728,0.2
0.4272,0.5728,0.21
0.4272,0.5728,0.22
0.4272,0.5728,0.23
0.4272,0.5728,0.24
0.483,0,0.24
0.4272,0.5728,0.25
0.4272,0.5728,0.26
0.4816,0,0.26
0.4272,0.5728,0.27
0.4272,0.5728,0.28
0.4272,0.5728,0.29
0.4272,0.5728,0.3
0.4272,0.5728,0.31
0.4272,0.5728,0.32
0.4768,0,0.33
0.4272,0.5728,0.33
0.4272,0.5728,0.34
0.4272,0.5728,0.35
0.4747,0,0.36
0.4272,0.5728,0.36
0.474,0,0.37
0.4272,0.5728,0.37
0.4272,0.5728,0.38
0.4272,0.5728,0.39
0.472,0,0.4
0.4272,0.5728,0.4
0.4272,0.5728,0.41
0.4272,0.5728,0.42
0.47,0,0.43
0.4272,0.5728,0.43
0.4272,0.5728,0.44
0.4272,0.5728,0.45
0.468,0,0.46
0.4272,0.5728,0.46
0.4272,0.5728,0.47
0.4272,0.5728,0.48
0.4272,0.5728,0.49
0.4272,0.5728,0.5
0.4647,0,0.51
0.4272,0.5728,0.51
0.4272,0.5728,0.52
0.4634,0,0.53
0.4272,0.5728,0.53
0.4627,0,0.54
0.4272,0.5728,0.54
0.4621,0,0.55
0.4272,0.5728,0.55
0.4272,0.5728,0.56
0.4608,0,0.57
0.4272,0.5728,0.57
0.4272,0.5728,0.58
0.4272,0.5728,0.59
0.4589,0,0.6
0.4272,0.5728,0.6
0.4582,0,0.61
0.4272,0.5728,0.61
0.4576,0,0.62
0.4272,0.5728,0.62
0.457,0,0.63
0.4272,0.5728,0.63
0.4563,0,0.64
0.4272,0.5728,0.64
0.4557,0,0.65
0.4272,0.5728,0.65
0.4551,0,0.66
0.4272,0.5728,0.66
0.4545,0,0.67
0.4272,0.5728,0.67
0.4538,0,0.68
0.4272,0.5728,0.68
0.4532,0,0.69
0.4272,0.5728,0.69
0.4526,0,0.7
0.4272,0.5728,0.7
0.452,0,0.71
0.4272,0.5728,0.71
0.4272,0.5728,0.72
0.4514,0,0.72
0.4272,0.5728,0.73
0.4508,0,0.73
0.4272,0.5728,0.74
0.4272,0.5728,0.75
0.4403,0.1322,0.76
0.4403,0.1321,0.76
0.4272,0.5728,0.76
0.4356,0.2022,0.77
0.4272,0.5728,0.77
0.4356,0.2021,0.77
0.4326,0.2514,0.78
0.4272,0.5728,0.78
0.4305,0.2895,0.79
0.4272,0.5728,0.79
0.4472,0,0.79
0.4466,0,0.8
0.429,0.3211,0.8
0.429,0.3212,0.8
0.4272,0.5728,0.8
0.446,0,0.81
0.4278,0.3486,0.81
0.4272,0.5728,0.81
0.4454,0,0.82
0.427,0.3732,0.82
0.427,0.3731,0.82
0.4272,0.5728,0.82
0.4449,0,0.83
0.4272,0.5728,0.83
0.4264,0.3958,0.83
0.4443,0,0.84
0.426,0.417,0.84
0.426,0.4169,0.84
0.4272,0.5728,0.84
0.4437,0,0.85
0.4257,0.4371,0.85
0.4272,0.5728,0.85
0.4431,0,0.86
0.4256,0.4567,0.86
0.4272,0.5728,0.86
0.4426,0,0.87
0.4256,0.4758,0.87
0.4272,0.5728,0.87
0.4256,0.4757,0.87
0.442,0,0.88
0.4272,0.5728,0.88
0.4257,0.4947,0.88
0.4415,0,0.89
0.426,0.5136,0.89
0.426,0.5137,0.89
0.4272,0.5728,0.89
0.4263,0.5329,0.9
0.4272,0.5728,0.9
0.4404,0,0.91
0.4272,0.5728,0.91
0.4267,0.5526,0.91
0.4267,0.5527,0.91
0.4398,0,0.92
0.4272,0.5723,0.92
0.4272,0.5725,0.92
0.4272,0.5728,0.92
0.4272,0.5724,0.92
0.4272,0.5726,0.92
0.4393,0,0.93
0.4272,0.5728,0.93
0.4272,0.5727,0.93
0.4272,0.5728,0.94
0.4272,0.5728,0.95
0.4272,0.5727,0.95
0.4272,0.5728,0.96
0.4371,0,0.97
0.4272,0.5728,0.97
0.4272,0.5728,0.98
0.4361,0,0.99
0.4272,0.5728,0.99
0.4272,0.5728,1
