"xDstar","xCstar","t"
0.9949,0.0051,0.5
0.9692,0.0308,0.51
0.9691,0.0308,0.51
0.9691,0.0309,0.51
0.9446,0.0554,0.52
0.9686,0,0.52
0.9211,0.0789,0.53
0.948,0,0.53
0.8987,0.1013,0.54
0.9282,0,0.54
0.9091,0,0.55
0.8773,0.1227,0.55
0.8907,0,0.56
0.8569,0.1431,0.56
0.8374,0.1626,0.57
0.856,0,0.58
0.8189,0.1811,0.58
0.8396,0,0.59
0.8012,0.1988,0.59
0.7843,0.2157,0.6
0.8238,0,0.6
0.8086,0,0.61
0.7683,0.2317,0.61
0.7939,0,0.62
0.7529,0.2471,0.62
0.7529,0.247,0.62
0.7383,0.2617,0.63
0.7798,0,0.63
0.7243,0.2757,0.64
0.7661,0,0.64
0.7529,0,0.65
0.7109,0.2891,0.65
0.6981,0.3019,0.66
0.7401,0,0.66
0.6857,0.3143,0.67
0.7278,0,0.67
0.6858,0.3139,0.67
0.6765,0.2958,0.68
0.6765,0.2959,0.68
0.6739,0.3261,0.68
0.7159,0,0.68
0.6684,0.2708,0.69
0.6684,0.2709,0.69
0.7043,0,0.69
0.6625,0.3375,0.69
0.6611,0.2423,0.7
0.6515,0.3485,0.7
0.6931,0,0.7
0.6611,0.2424,0.7
0.6547,0.2095,0.71
0.6409,0.3591,0.71
0.6546,0.2096,0.71
0.6823,0,0.71
0.6492,0.1715,0.72
0.6492,0.1714,0.72
0.6307,0.3693,0.72
0.6718,0,0.72
0.6449,0.1271,0.73
0.6208,0.3792,0.73
0.6449,0.1272,0.73
0.6616,0,0.73
0.6417,0.0762,0.74
0.6417,0.0763,0.74
0.6112,0.3888,0.74
0.6019,0.3981,0.75
0.6396,0.0195,0.75
0.5928,0.4072,0.76
0.6382,-0.0413,0.76
0.6382,-0.0412,0.76
0.6328,-1e-04,0.76
0.6237,0,0.77
0.584,0.4159,0.77
0.6373,-0.1039,0.77
0.584,0.416,0.77
0.6149,0,0.78
0.6368,-0.167,0.78
0.5755,0.4245,0.78
0.5672,0.4328,0.79
0.6363,-0.2296,0.79
0.6063,0,0.79
0.5979,0,0.8
0.559,0.4409,0.8
0.559,0.441,0.8
0.636,-0.2911,0.8
0.5898,0,0.81
0.5511,0.4489,0.81
0.5818,0,0.82
0.5434,0.4566,0.82
0.5741,0,0.83
0.5358,0.4642,0.83
0.5665,0,0.84
0.5284,0.4716,0.84
0.5591,0,0.85
0.5212,0.4788,0.85
0.5518,0,0.86
0.5141,0.4859,0.86
0.5448,0,0.87
0.5071,0.4929,0.87
0.5379,0,0.88
0.5003,0.4997,0.88
0.5311,0,0.89
0.4936,0.5064,0.89
0.5245,0,0.9
0.4871,0.5129,0.9
0.518,0,0.91
0.4806,0.5194,0.91
0.5117,0,0.92
0.4743,0.5257,0.92
0.5055,0,0.93
0.4681,0.5319,0.93
0.4619,0.5381,0.94
0.4935,0,0.95
0.4559,0.5441,0.95
0.45,0.55,0.96
0.4442,0.5558,0.97
0.4763,0,0.98
0.4384,0.5616,0.98
0.4328,0.5672,0.99
0.4272,0.5728,1
