"xDstar","xCstar","betaD"
0.3571,0.6429,1.2
0.4607,0,1.3
0.3875,0.6125,1.3
0.4126,0.5874,1.4
0.4334,0.5666,1.5
0.4334,0.5665,1.5
0.4833,0,1.6
0.4512,0.5488,1.6
0.4664,0.5336,1.7
0.4796,0.5204,1.8
0.4982,0,1.9
0.4912,0.5088,1.9
0.5014,0.4986,2
0.5105,0.4895,2.1
0.5088,0,2.2
0.5187,0.4813,2.2
0.526,0.474,2.3
0.5326,0.4674,2.4
0.5387,0.4613,2.5
0.5442,0.4558,2.6
0.521,0,2.7
0.5493,0.4507,2.7
0.5539,0.446,2.8
0.5539,0.4461,2.8
0.5583,0.4417,2.9
0.5622,0.4377,3
0.5622,0.4378,3
0.566,0.434,3.1
0.5694,0.4306,3.2
0.5726,0.4274,3.3
0.5757,0.4243,3.4
0.5785,0.4215,3.5
0.533,0,3.5
0.5811,0.4189,3.6
0.5836,0.4164,3.7
0.5836,0.4163,3.7
0.586,0.414,3.8
0.5882,0.4118,3.9
0.5903,0.4097,4
0.5903,0.4096,4
0.5923,0.4076,4.1
0.5923,0.4077,4.1
0.5942,0.4058,4.2
0.596,0.4039,4.3
0.596,0.404,4.3
0.5978,0.4022,4.4
0.5994,0.4006,4.5
0.601,0.399,4.6
0.6024,0.3976,4.7
0.6039,0.3961,4.8
0.6052,0.3948,4.9
0.6065,0.3935,5
0.6078,0.3922,5.1
0.609,0.391,5.2
0.6101,0.3899,5.3
0.5464,0,5.3
0.6112,0.3888,5.4
0.6123,0.3877,5.5
0.6133,0.3867,5.6
0.6143,0.3857,5.7
0.5482,0,5.7
0.6153,0.3847,5.8
0.5486,0,5.8
0.6162,0.3838,5.9
0.6171,0.3829,6
0.6179,0.3821,6.1
0.6187,0.3813,6.2
0.6195,0.3805,6.3
0.6203,0.3797,6.4
0.621,0.379,6.5
0.6218,0.3782,6.6
0.6225,0.3775,6.7
0.6231,0.3769,6.8
0.6238,0.3762,6.9
0.6244,0.3756,7
0.6251,0.3749,7.1
0.6257,0.3743,7.2
0.6262,0.3738,7.3
0.6268,0.3732,7.4
0.6274,0.3726,7.5
0.6279,0.3721,7.6
0.6284,0.3716,7.7
0.6289,0.3711,7.8
0.6294,0.3706,7.9
0.555,0,8
0.6299,0.3701,8
0.6304,0.3696,8.1
0.6308,0.3692,8.2
0.6313,0.3687,8.3
0.6317,0.3683,8.4
0.6321,0.3679,8.5
0.6321,0.3678,8.5
0.6326,0.3674,8.6
0.633,0.367,8.7
0.6334,0.3666,8.8
0.5567,0,8.9
0.6338,0.3662,8.9
0.5566,0,8.9
0.6341,0.3659,9
0.6345,0.3655,9.1
0.6349,0.3651,9.2
0.6352,0.3648,9.3
0.6356,0.3644,9.4
0.6359,0.3641,9.5
0.6362,0.3638,9.6
0.6365,0.3635,9.7
0.6369,0.3631,9.8
0.6372,0.3628,9.9
0.6375,0.3625,10
