"xDstar","xCstar","betaD"
0.3987,0.3442,1.2
0.3778,0.6222,1.2
0.3977,0.6023,1.3
0.4537,0,1.3
0.4139,0.5861,1.4
0.4272,0.5728,1.5
0.4386,0.5614,1.6
0.4483,0.5517,1.7
0.4781,0,1.8
0.4569,0.5431,1.8
0.4644,0.5355,1.9
0.4644,0.5356,1.9
0.4847,0,2
0.4712,0.5288,2
0.4773,0.5227,2.1
0.4828,0.5171,2.2
0.4828,0.5172,2.2
0.4879,0.5121,2.3
0.4926,0.5074,2.4
0.4969,0.5031,2.5
0.5009,0.4991,2.6
0.5046,0.4954,2.7
0.5081,0.4919,2.8
0.5113,0.4887,2.9
0.5144,0.4856,3
0.5173,0.4827,3.1
0.52,0.48,3.2
0.5226,0.4774,3.3
0.5251,0.4749,3.4
0.5274,0.4726,3.5
0.5297,0.4703,3.6
0.5318,0.4682,3.7
0.5338,0.4662,3.8
0.5358,0.4642,3.9
0.5377,0.4623,4
0.5395,0.4605,4.1
0.5412,0.4588,4.2
0.5429,0.4571,4.3
0.5202,0,4.3
0.5445,0.4555,4.4
0.521,0,4.4
0.546,0.454,4.5
0.5475,0.4525,4.6
0.549,0.451,4.7
0.5233,0,4.7
0.5504,0.4496,4.8
0.5517,0.4483,4.9
0.5247,0,4.9
0.553,0.447,5
0.5543,0.4457,5.1
0.5555,0.4445,5.2
0.5567,0.4433,5.3
0.5278,0,5.4
0.5579,0.4421,5.4
0.5284,0,5.5
0.559,0.441,5.5
0.5601,0.4399,5.6
0.5612,0.4388,5.7
0.5622,0.4378,5.8
0.5633,0.4367,5.9
0.5642,0.4358,6
0.5652,0.4348,6.1
0.5661,0.4339,6.2
0.5671,0.4329,6.3
0.568,0.432,6.4
0.5688,0.4312,6.5
0.5697,0.4303,6.6
0.5705,0.4295,6.7
0.5713,0.4287,6.8
0.5721,0.4279,6.9
0.5729,0.4271,7
0.5737,0.4263,7.1
0.5744,0.4256,7.2
0.5361,0,7.2
0.5752,0.4248,7.3
0.5759,0.4241,7.4
0.5766,0.4234,7.5
0.5773,0.4227,7.6
0.578,0.422,7.7
0.5786,0.4214,7.8
0.5793,0.4207,7.9
0.5799,0.4201,8
0.5805,0.4195,8.1
0.5812,0.4188,8.2
0.5818,0.4182,8.3
0.5824,0.4176,8.4
0.5829,0.4171,8.5
0.5835,0.4165,8.6
0.5841,0.4159,8.7
0.5846,0.4154,8.8
0.5852,0.4148,8.9
0.5857,0.4143,9
0.5863,0.4137,9.1
0.5868,0.4132,9.2
0.5873,0.4127,9.3
0.5878,0.4122,9.4
0.5883,0.4117,9.5
0.5888,0.4112,9.6
0.5893,0.4107,9.7
0.5897,0.4103,9.8
0.5902,0.4098,9.9
0.5907,0.4093,10
